               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.039761,            0.011799,            0.012208,             0.93587,             0.90095,             0.95817,             0.61874,            0.019634,           0.0048174,           0.0059054,           0.0083368,           0.0083368,           0.0083368
                  86,            0.039683,            0.010484,            0.014855,             0.38584,             0.79605,             0.53274,             0.26749,            0.034374,           0.0052669,           0.0056225,            0.008317,            0.008317,            0.008317
                  87,            0.051492,            0.010846,            0.011775,             0.69175,             0.81423,             0.82104,             0.53406,            0.024561,           0.0047042,            0.005539,           0.0082972,           0.0082972,           0.0082972
                  88,            0.040902,            0.010239,            0.011938,             0.69175,             0.81423,             0.82104,             0.53406,            0.024561,           0.0047042,            0.005539,           0.0082774,           0.0082774,           0.0082774
                  89,            0.039698,            0.010992,            0.013301,             0.61842,             0.96448,             0.82288,             0.50626,            0.025434,           0.0046755,           0.0055195,           0.0082576,           0.0082576,           0.0082576
                  90,            0.039694,             0.01069,            0.012204,             0.71771,             0.96236,             0.92663,             0.60961,            0.028784,           0.0044721,           0.0052488,           0.0082378,           0.0082378,           0.0082378
                  91,            0.041292,           0.0093266,            0.013107,             0.68698,               0.975,             0.78023,             0.49959,            0.024772,            0.004503,           0.0053375,            0.008218,            0.008218,            0.008218
                  92,            0.046214,           0.0094419,            0.014204,             0.68698,               0.975,             0.78023,             0.49959,            0.024772,            0.004503,           0.0053375,           0.0081982,           0.0081982,           0.0081982
                  93,            0.038152,             0.01075,            0.011823,             0.70611,               0.975,             0.78907,             0.53426,            0.021598,           0.0044841,           0.0053509,           0.0081784,           0.0081784,           0.0081784
                  94,            0.037776,            0.010152,            0.015297,             0.86621,               0.975,             0.94066,             0.60916,            0.022467,           0.0045851,           0.0053327,           0.0081586,           0.0081586,           0.0081586
                  95,            0.040638,            0.011018,            0.013445,             0.49673,                0.95,             0.69989,               0.346,            0.028306,           0.0051607,            0.005308,           0.0081388,           0.0081388,           0.0081388
                  96,            0.050176,             0.01031,             0.01142,             0.49673,                0.95,             0.69989,               0.346,            0.028306,           0.0051607,            0.005308,            0.008119,            0.008119,            0.008119
                  97,            0.044353,           0.0098416,            0.013664,             0.59826,               0.875,             0.83117,             0.50944,            0.019566,           0.0047741,           0.0058774,           0.0080992,           0.0080992,           0.0080992
                  98,            0.042699,           0.0098829,             0.01166,             0.63697,             0.82381,             0.78735,              0.3405,            0.032764,           0.0052637,           0.0061275,           0.0080794,           0.0080794,           0.0080794
                  99,            0.048655,            0.011816,            0.012882,              0.9333,             0.82226,             0.93565,             0.48558,            0.022939,            0.004753,           0.0053363,           0.0080596,           0.0080596,           0.0080596
                 100,            0.036869,            0.008061,            0.015459,              0.9333,             0.82226,             0.93565,             0.48558,            0.022939,            0.004753,           0.0053363,           0.0080398,           0.0080398,           0.0080398
                 101,             0.03591,           0.0092677,           0.0099826,             0.82982,             0.90678,             0.88767,             0.59051,             0.02078,            0.004761,           0.0051787,             0.00802,             0.00802,             0.00802
                 102,            0.040296,            0.011982,            0.011867,             0.74458,                0.95,             0.85231,              0.5832,             0.03097,            0.005229,           0.0050267,           0.0080002,           0.0080002,           0.0080002
                 103,            0.051524,            0.010087,            0.011369,              0.9265,             0.92389,             0.93869,             0.47099,            0.022272,           0.0045016,           0.0049164,           0.0079804,           0.0079804,           0.0079804
                 104,            0.034661,           0.0092034,            0.012121,              0.9265,             0.92389,             0.93869,             0.47099,            0.022272,           0.0045016,           0.0049164,           0.0079606,           0.0079606,           0.0079606
                 105,            0.033764,           0.0095677,            0.017032,             0.68024,               0.975,             0.84415,             0.50926,            0.020044,           0.0042745,           0.0048378,           0.0079408,           0.0079408,           0.0079408
                 106,            0.030535,           0.0085797,             0.01172,             0.94428,               0.975,                0.94,             0.53057,            0.019346,           0.0040994,           0.0047101,            0.007921,            0.007921,            0.007921
                 107,            0.031868,           0.0088756,            0.010603,             0.58891,             0.87105,             0.77176,             0.50799,            0.030204,           0.0044743,           0.0046619,           0.0079012,           0.0079012,           0.0079012
                 108,            0.043727,           0.0090436,            0.012942,             0.58891,             0.87105,             0.77176,             0.50799,            0.030204,           0.0044743,           0.0046619,           0.0078814,           0.0078814,           0.0078814
                 109,            0.042366,            0.011175,            0.012266,             0.53071,             0.91745,             0.78413,             0.56731,            0.027894,           0.0044334,           0.0046611,           0.0078616,           0.0078616,           0.0078616
                 110,            0.038779,            0.010177,             0.01358,              0.9423,               0.975,             0.95083,             0.44469,            0.021703,           0.0041937,           0.0047835,           0.0078418,           0.0078418,           0.0078418
                 111,            0.035384,            0.009339,           0.0097882,              0.6763,             0.97257,              0.9207,             0.61314,            0.027401,           0.0043983,            0.004871,            0.007822,            0.007822,            0.007822
                 112,            0.044479,           0.0096887,            0.010347,              0.6763,             0.97257,              0.9207,             0.61314,            0.027401,           0.0043983,            0.004871,           0.0078022,           0.0078022,           0.0078022
                 113,             0.04095,            0.009267,             0.01267,             0.62205,             0.97101,             0.87377,             0.62756,            0.027523,           0.0043873,           0.0048775,           0.0077824,           0.0077824,           0.0077824
                 114,            0.037954,           0.0095361,           0.0097968,             0.88994,             0.91612,             0.92654,             0.71321,            0.022908,           0.0043384,            0.004991,           0.0077626,           0.0077626,           0.0077626
                 115,            0.036833,           0.0083759,            0.011687,             0.71477,                0.95,             0.86849,             0.58145,            0.019976,           0.0042139,           0.0050859,           0.0077428,           0.0077428,           0.0077428
                 116,            0.036198,           0.0087726,            0.012828,             0.71477,                0.95,             0.86849,             0.58145,            0.019976,           0.0042139,           0.0050859,            0.007723,            0.007723,            0.007723
                 117,             0.03198,            0.011368,            0.011982,             0.85881,               0.973,             0.93541,              0.7747,            0.015148,           0.0040576,           0.0051714,           0.0077032,           0.0077032,           0.0077032
                 118,              0.0322,           0.0079797,            0.011172,              0.9397,             0.94374,              0.9495,             0.66247,            0.020808,           0.0042877,           0.0052135,           0.0076834,           0.0076834,           0.0076834
                 119,            0.035039,            0.010158,            0.012074,               0.793,             0.93834,              0.9273,             0.62924,            0.024593,            0.004223,           0.0051596,           0.0076636,           0.0076636,           0.0076636
                 120,            0.040204,            0.010676,            0.012301,               0.793,             0.93834,              0.9273,             0.62924,            0.024593,            0.004223,           0.0051596,           0.0076438,           0.0076438,           0.0076438
                 121,             0.03473,           0.0084183,           0.0098207,             0.78258,               0.925,             0.93958,             0.66061,            0.021023,           0.0040931,           0.0052334,            0.007624,            0.007624,            0.007624
                 122,            0.036341,           0.0086043,            0.010387,             0.94512,               0.975,             0.96163,             0.72748,            0.021317,           0.0041125,           0.0050777,           0.0076042,           0.0076042,           0.0076042
                 123,            0.034739,           0.0088237,           0.0098371,              0.8929,               0.975,             0.95079,             0.68314,            0.018691,           0.0041202,           0.0051304,           0.0075844,           0.0075844,           0.0075844
                 124,            0.033862,           0.0083791,            0.010455,              0.8929,               0.975,             0.95079,             0.68314,            0.018691,           0.0041202,           0.0051304,           0.0075646,           0.0075646,           0.0075646
                 125,            0.031503,           0.0095063,            0.012527,             0.93307,               0.975,             0.95668,             0.75261,            0.015583,            0.004105,           0.0051345,           0.0075448,           0.0075448,           0.0075448
                 126,            0.034662,           0.0098636,            0.012575,              0.5678,             0.91352,             0.87359,             0.51321,            0.024689,           0.0043989,           0.0051475,            0.007525,            0.007525,            0.007525
                 127,            0.045208,           0.0093227,           0.0095824,             0.82114,               0.975,             0.95563,             0.72021,            0.017369,            0.004069,           0.0051783,           0.0075052,           0.0075052,           0.0075052
                 128,            0.029461,           0.0075516,            0.013448,             0.82114,               0.975,             0.95563,             0.72021,            0.017369,            0.004069,           0.0051783,           0.0074854,           0.0074854,           0.0074854
                 129,            0.028636,           0.0090008,            0.013673,             0.94586,               0.975,             0.95173,             0.82606,            0.012024,            0.003883,           0.0052512,           0.0074656,           0.0074656,           0.0074656
                 130,            0.030371,           0.0085642,           0.0097844,             0.91114,               0.975,             0.95614,             0.68915,            0.022115,           0.0041381,           0.0051037,           0.0074458,           0.0074458,           0.0074458
                 131,            0.035906,           0.0086583,            0.010883,             0.86257,             0.96495,             0.94936,             0.61669,            0.018672,           0.0041412,           0.0050786,            0.007426,            0.007426,            0.007426
                 132,            0.031023,           0.0098484,            0.011433,             0.86257,             0.96495,             0.94936,             0.61669,            0.018672,           0.0041412,           0.0050786,           0.0074062,           0.0074062,           0.0074062
                 133,            0.027762,            0.009089,           0.0087096,             0.94606,               0.975,              0.9547,             0.70956,            0.014125,            0.003914,           0.0049699,           0.0073864,           0.0073864,           0.0073864
                 134,            0.026605,            0.010373,            0.011021,             0.92652,               0.975,             0.94791,             0.70676,            0.016188,           0.0038881,           0.0048106,           0.0073666,           0.0073666,           0.0073666
                 135,            0.032787,           0.0071008,           0.0093757,             0.78672,             0.96986,             0.90364,             0.67147,            0.020347,           0.0040792,           0.0048094,           0.0073468,           0.0073468,           0.0073468
                 136,            0.035139,           0.0084814,            0.010045,             0.78672,             0.96986,             0.90364,             0.67147,            0.020347,           0.0040792,           0.0048094,            0.007327,            0.007327,            0.007327
                 137,            0.030302,           0.0074203,           0.0086356,             0.94597,               0.975,             0.95631,             0.81081,            0.014111,           0.0038576,           0.0047851,           0.0073072,           0.0073072,           0.0073072
                 138,            0.031426,            0.009073,            0.010539,             0.93992,               0.975,             0.96118,             0.76675,            0.017824,           0.0040127,            0.004719,           0.0072874,           0.0072874,           0.0072874
                 139,            0.033597,           0.0090559,            0.011699,             0.94695,               0.975,             0.96433,             0.57406,            0.022918,            0.004335,           0.0047174,           0.0072676,           0.0072676,           0.0072676
                 140,            0.036089,           0.0099592,           0.0087958,             0.94695,               0.975,             0.96433,             0.57406,            0.022918,            0.004335,           0.0047174,           0.0072478,           0.0072478,           0.0072478
                 141,            0.028043,           0.0090389,           0.0089573,             0.94683,               0.975,             0.95685,             0.65764,            0.014662,           0.0040237,           0.0047365,            0.007228,            0.007228,            0.007228
                 142,            0.034163,           0.0077353,           0.0063757,             0.79261,             0.94551,             0.91391,             0.59363,            0.027267,           0.0043249,           0.0046972,           0.0072082,           0.0072082,           0.0072082
                 143,            0.040544,            0.009448,           0.0082023,             0.94894,               0.975,             0.95447,              0.6003,            0.017848,           0.0039382,            0.004623,           0.0071884,           0.0071884,           0.0071884
                 144,            0.028202,           0.0073544,            0.011713,             0.94894,               0.975,             0.95447,              0.6003,            0.017848,           0.0039382,            0.004623,           0.0071686,           0.0071686,           0.0071686
                 145,            0.031046,            0.010851,            0.012185,             0.94795,               0.975,             0.95209,             0.71508,            0.013767,           0.0037971,           0.0046518,           0.0071488,           0.0071488,           0.0071488
                 146,            0.027805,           0.0068405,             0.01091,              0.9437,               0.975,             0.95524,             0.55912,            0.022328,           0.0040284,           0.0046951,            0.007129,            0.007129,            0.007129
                 147,            0.033804,           0.0097021,           0.0080172,              0.7669,             0.94868,             0.92242,             0.75357,            0.017903,           0.0038496,           0.0046141,           0.0071092,           0.0071092,           0.0071092
                 148,            0.030635,           0.0085789,            0.010623,              0.7669,             0.94868,             0.92242,             0.75357,            0.017903,           0.0038496,           0.0046141,           0.0070894,           0.0070894,           0.0070894
                 149,            0.026945,            0.010256,            0.010349,             0.71403,               0.975,              0.8827,             0.74062,            0.014573,           0.0036735,           0.0046473,           0.0070696,           0.0070696,           0.0070696
                 150,            0.028328,           0.0090351,           0.0097167,             0.83136,               0.975,             0.95039,             0.64093,            0.018059,           0.0037607,           0.0046485,           0.0070498,           0.0070498,           0.0070498
                 151,            0.036649,           0.0086105,           0.0082287,             0.94546,               0.975,              0.9519,             0.69745,            0.015632,           0.0035941,           0.0046773,             0.00703,             0.00703,             0.00703
                 152,            0.028637,           0.0097846,           0.0079959,             0.94546,               0.975,              0.9519,             0.69745,            0.015632,           0.0035941,           0.0046773,           0.0070102,           0.0070102,           0.0070102
                 153,            0.024925,           0.0077408,           0.0086858,             0.89575,               0.975,             0.94875,             0.78018,            0.012556,             0.00342,           0.0047243,           0.0069904,           0.0069904,           0.0069904
                 154,             0.02998,           0.0089017,            0.013205,               0.903,               0.975,              0.9531,             0.77755,            0.018274,           0.0036792,           0.0047713,           0.0069706,           0.0069706,           0.0069706
                 155,             0.03708,           0.0091665,            0.011019,              0.8754,               0.975,             0.94717,             0.74969,            0.014062,            0.003499,           0.0049221,           0.0069508,           0.0069508,           0.0069508
                 156,            0.026554,           0.0072468,           0.0095972,              0.8754,               0.975,             0.94717,             0.74969,            0.014062,            0.003499,           0.0049221,            0.006931,            0.006931,            0.006931
